area_code,area_desc,road_type_code,road_type_desc,road_section_code,road_section_desc,accident_type_code,accident_type_desc,vehicle_type_code,vehicle_type_desc,month_code,month_desc,year,observations
ITC1,Piemonte,1,Urban road,2,Traffic circle,1,Accidents between vehicles,1,Motor cars,6,June,2024,61
ITC1,Piemonte,1,Urban road,2,Traffic circle,1,Accidents between vehicles,1,Motor cars,7,July,2024,48
ITC1,Piemonte,1,Urban road,2,Traffic circle,1,Accidents between vehicles,1,Motor cars,8,August,2024,32
ITC1,Piemonte,1,Urban road,2,Traffic circle,1,Accidents between vehicles,1,Motor cars,9,September,2024,36
ITC1,Piemonte,1,Urban road,2,Traffic circle,1,Accidents between vehicles,1,Motor cars,10,October,2024,49
ITC1,Piemonte,1,Urban road,2,Traffic circle,1,Accidents between vehicles,1,Motor cars,11,November,2024,34
ITC1,Piemonte,1,Urban road,2,Traffic circle,1,Accidents between vehicles,1,Motor cars,12,December,2024,35
ITC1,Piemonte,1,Urban road,2,Traffic circle,1,Accidents between vehicles,2,Bus or trolley-bus,4,April,2024,1
ITC1,Piemonte,1,Urban road,2,Traffic circle,1,Accidents between vehicles,2,Bus or trolley-bus,6,June,2024,2
ITC1,Piemonte,1,Urban road,2,Traffic circle,1,Accidents between vehicles,2,Bus or trolley-bus,10,October,2024,1
ITC1,Piemonte,1,Urban road,2,Traffic circle,1,Accidents between vehicles,2,Bus or trolley-bus,12,December,2024,1
ITC1,Piemonte,1,Urban road,2,Traffic circle,1,Accidents between vehicles,3,Tram,1,January,2024,1
ITC1,Piemonte,1,Urban road,2,Traffic circle,1,Accidents between vehicles,4,Trucks and motor units,2,February,2024,5
ITC1,Piemonte,1,Urban road,2,Traffic circle,1,Accidents between vehicles,4,Trucks and motor units,3,March,2024,1
ITC1,Piemonte,1,Urban road,2,Traffic circle,1,Accidents between vehicles,4,Trucks and motor units,4,April,2024,4
ITC1,Piemonte,1,Urban road,2,Traffic circle,1,Accidents between vehicles,4,Trucks and motor units,5,May,2024,1
ITC1,Piemonte,1,Urban road,2,Traffic circle,1,Accidents between vehicles,4,Trucks and motor units,6,June,2024,2
ITC1,Piemonte,1,Urban road,2,Traffic circle,1,Accidents between vehicles,4,Trucks and motor units,7,July,2024,4
ITC1,Piemonte,1,Urban road,2,Traffic circle,1,Accidents between vehicles,4,Trucks and motor units,8,August,2024,1
ITC1,Piemonte,1,Urban road,2,Traffic circle,1,Accidents between vehicles,4,Trucks and motor units,9,September,2024,2
ITC1,Piemonte,1,Urban road,2,Traffic circle,1,Accidents between vehicles,4,Trucks and motor units,10,October,2024,4
ITC1,Piemonte,1,Urban road,2,Traffic circle,1,Accidents between vehicles,4,Trucks and motor units,12,December,2024,4
ITC1,Piemonte,1,Urban road,2,Traffic circle,1,Accidents between vehicles,5,Cycles,1,January,2024,5
ITC1,Piemonte,1,Urban road,2,Traffic circle,1,Accidents between vehicles,5,Cycles,2,February,2024,12
ITC1,Piemonte,1,Urban road,2,Traffic circle,1,Accidents between vehicles,5,Cycles,3,March,2024,16
